prompt,response,model,num_tokens_query,num_tokens_prompt
"[{'content': ""Please write a text of 100-150 words that could pass as a transcription of an everyday conversation between two or more people on the topic of: buy a TV. Do not indicate speaker turns and do not use quotation marks. Just write the transcription as on long text. Then, under the headline '**Summary**' write one sentence that summarizes the transcription, emphasizing any meetings, persons or places mentioned in the conversation."", 'role': 'user'}]","I've been looking at TVs online, and it's so confusing. There are so many different types and sizes. I think we should probably go to Best Buy this weekend and see them in person. They have a good selection there. Yeah, that's a good idea. Maybe we can ask someone there for advice on what size would be best for our living room. We don't want something too big or too small. And what about features? Do we need a smart TV? I think it would be nice to have streaming apps built in. I heard they have some good deals going on right now. It would be great to get a good TV at a discount.  We could even check out that new soundbar they have.  Let's make a day of it, grab lunch at the food court. 


**Summary**
Two people plan to visit Best Buy to look at TVs, seeking advice on size, features, and potentially taking advantage of sales and having lunch. 

",google/gemma-2-27b-it,205,88
"[{'content': ""Imagine you walked into a room where a group of people were in the middle of having a conversation on the topic of: Beach. Write a verbatim transcript of 250-300 words of what they said. Do not indicate speaker turns. Do not state who's speaking. Do not use quotation marks. Then, under the headline '**Summary**' write one sentence that summarizes the transcription, emphasizing any meetings, persons or places mentioned in the conversation."", 'role': 'user'}]","Absolutely love the beach, just the sound of the waves crashing is so relaxing. I know, right? Like all your worries just melt away. It's the best place to unplug and recharge. Last summer we went to Myrtle Beach, it was packed though.

Yeah, I'm not a fan of the crowds either. Give me a secluded cove any day. Oh, have you been to that hidden beach in Malibu? The one with the tide pools? It's amazing.

No, I haven't been there but I've heard about it. My cousin went a few years ago, said it was incredible. I'm more of a Lake Michigan person myself. Growing up in the Midwest, that's where we always went.

Ah, the Great Lakes, they have their own charm. It's so peaceful and serene. We used to go to Sleeping Bear Dunes every year. Remember building sandcastles there?

Yes! And searching for Petoskey stones. Those were the days. I miss those summers.

We should definitely plan a beach trip together soon. Maybe somewhere tropical this time. I've always wanted to go to the Maldives.

That sounds amazing. Turquoise water, white sand... sign me up. We could even learn to surf.

I've always wanted to try surfing too. It looks so exhilarating.

We could take lessons together. Imagine, us hanging ten in the Maldives. It would be epic.

**Summary**

The group reminisced about beach vacations, discussed their favorite beaches including Myrtle Beach, Malibu, and Sleeping Bear Dunes, and made plans for a future tropical beach trip to the Maldives. 



",google/gemma-2-27b-it,344,94
"[{'content': ""Imagine you walked into a room where a group of people were in the middle of having a conversation on the topic of: crowded bus. Write a verbatim transcript of 350-400 words of what they said. Do not indicate speaker turns. Do not state who's speaking. Do not use quotation marks. Then, under the headline '**Summary**' write one sentence that summarizes the transcription, emphasizing any meetings, persons or places mentioned in the conversation."", 'role': 'user'}]","It's just awful, you know. You're packed in like sardines, sweating, and nobody wants to move. I swear, sometimes I feel like I'm going to suffocate. And the smells. Don't even get me started on the smells. It's a mix of perfume, body odor, and stale food.

You know what I hate the most? When people take up two seats with their bags. It's just rude. There are plenty of overhead compartments for that stuff. And then you have the people who blast their music without headphones.

I remember one time, I was on this bus going home from work, and it was absolutely packed. I was standing, holding onto a pole for dear life, and this guy next to me kept bumping into me with his oversized backpack. I finally lost it and said something, and he just glared at me. It was so awkward.

I'm telling you, it's a jungle out there. Sometimes I think it would be easier to just walk, even if it takes longer. At least I wouldn't have to deal with the crowds.

Oh, I know what you mean. I take the 42 bus every morning to get to work downtown, and it's always a nightmare. It's like everyone in the city decides to take that bus at the same time. I've even seen people fighting over seats.

Yeah, the 42 is notorious for being crowded. They should really add more buses on that route.

I wish they would just invest in better public transportation in general. It would make everyone's lives so much easier.

Maybe they could create dedicated bus lanes. That might help with the traffic, too. 

And maybe they could have more frequent service during rush hour.


**Summary**

The conversation centered on the negative experiences people have on crowded buses, particularly mentioning the 42 bus route in the city, and suggesting improvements to public transportation like dedicated bus lanes and more frequent service.



",google/gemma-2-27b-it,418,95
"[{'content': ""Please write a text of 100-150 words that could pass as a transcription of an everyday conversation between two or more people on the topic of: introduce a product. Do not indicate speaker turns and do not use quotation marks. Just write the transcription as on long text. Then, under the headline '**Summary**' write one sentence that summarizes the transcription, emphasizing any meetings, persons or places mentioned in the conversation."", 'role': 'user'}]","So, I wanted to tell you about this new app I found. It's called ""Foodie Find"" and it's basically like Yelp but specifically for finding hidden gem restaurants. You know, those local places that don't have a huge online presence but have amazing food. It uses your location and your preferences, like what type of cuisine you're in the mood for, and then suggests places you might not have heard of before. I tried it last night and found this incredible little Thai place downtown, the pad thai was incredible.  They have a rating system too, but it's based on user reviews and photos, not just stars. It's supposed to be launching in a few weeks, I think they're doing a beta test right now. I signed up for the waitlist, you should too.

**Summary**

Two people discuss a new app called ""Foodie Find"" that helps users discover lesser-known restaurants. 



",google/gemma-2-27b-it,198,88
"[{'content': ""Please write a text of 100-150 words that could pass as a transcription of an everyday conversation between two or more people on the topic of: Work. Do not indicate speaker turns and do not use quotation marks. Just write the transcription as on long text. Then, under the headline '**Summary**' write one sentence that summarizes the transcription, emphasizing any meetings, persons or places mentioned in the conversation."", 'role': 'user'}]","I'm so swamped right now. This new project is taking up all my time.  Yeah, it's a big one, lots of moving parts. I wish we had more hands on deck. Speaking of which, did you hear they're finally filling that open position in marketing?  That's great news, maybe things will calm down a bit once they're settled in.  Have you met Sarah yet? She seems really sharp. Yeah, we actually had lunch together last week. She's got some great ideas for the Henderson account.  I'm looking forward to seeing what she can do.  Hopefully, she'll be able to take some of the workload off us.


**Summary**

The speakers discuss a new project, staffing issues, and the potential impact of a new marketing hire named Sarah on their workload. 

",google/gemma-2-27b-it,178,86
"[{'content': ""Please write a text of 100-150 words that could pass as a transcription of an everyday conversation between two or more people on the topic of: withdraw money. Do not indicate speaker turns and do not use quotation marks. Just write the transcription as on long text. Then, under the headline '**Summary**' write one sentence that summarizes the transcription, emphasizing any meetings, persons or places mentioned in the conversation."", 'role': 'user'}]","I need to get some cash out, do you know if the ATM at the corner store is working?  It was down yesterday, remember? I tried to get money out this morning but it was still out of order. That's annoying, I really don't want to drive all the way to the bank. Yeah, it's such a pain, especially when you need cash in a hurry. Maybe try the one by the supermarket? I think it's always working. Okay, I'll give it a shot. Thanks. Hopefully, it works. I'm meeting Sarah for lunch and I promised to cover this time.

**Summary**

Two people discuss the status of ATMs at various locations, aiming to find one that is working so they can withdraw cash before meeting a friend named Sarah for lunch.



",google/gemma-2-27b-it,169,87
"[{'content': ""Imagine you walked into a room where a group of people were in the middle of having a conversation on the topic of: ocean. Write a verbatim transcript of 350-400 words of what they said. Do not indicate speaker turns. Do not state who's speaking. Do not use quotation marks. Then, under the headline '**Summary**' write one sentence that summarizes the transcription, emphasizing any meetings, persons or places mentioned in the conversation."", 'role': 'user'}]","The ocean is just so vast, isn't it. It's hard to wrap your head around how much of the Earth it covers. And to think, we've explored so little of it. I read somewhere that we know more about the surface of the moon than we do about the ocean floor. That's incredible.

You're telling me. It's a whole other world down there. I saw this documentary about these deep-sea hydrothermal vents, they're like these underwater geysers that spew out superheated water. And there's all these bizarre creatures living around them, things that look like they're from another planet.

It's amazing how life can adapt to such extreme environments. Makes you wonder what else is down there, lurking in the darkness. Maybe giant squid, or kraken, who knows.

Seriously though, the ocean is crucial to our planet. It regulates the climate, provides food, and absorbs carbon dioxide. We really need to do more to protect it from pollution and overfishing.

I agree, it's terrifying how much plastic ends up in the ocean. It's devastating for marine life. And then there's the problem of acidification, the ocean is becoming more acidic due to the absorption of carbon dioxide from the atmosphere.

My friend works for an organization that's trying to clean up plastic from the Great Pacific garbage patch. It's a huge undertaking, but they're making progress.

That's inspiring to hear. We all need to do our part, even small things like reducing our plastic consumption and supporting sustainable fishing practices.

Did you hear about that new marine sanctuary they're establishing off the coast of California? It's a protected area where fishing is restricted, allowing marine life to recover.

That's fantastic news. Hopefully, more areas will follow suit.

We need to protect our oceans, not just for ourselves but for future generations.


**Summary**

The conversation centered around the vastness and importance of the ocean, highlighting concerns about pollution, overfishing, and the need for conservation efforts like the establishment of marine sanctuaries. 

",google/gemma-2-27b-it,444,94
"[{'content': ""Imagine you walked into a room where a group of people were in the middle of having a conversation on the topic of: order business cards. Write a verbatim transcript of 250-300 words of what they said. Do not indicate speaker turns. Do not state who's speaking. Do not use quotation marks. Then, under the headline '**Summary**' write one sentence that summarizes the transcription, emphasizing any meetings, persons or places mentioned in the conversation."", 'role': 'user'}]","We really need to get those business cards ordered ASAP. The conference is next month and we don't want to be caught without them. I spoke to three different printing companies and got some quotes. PrintPerfect seemed the most reasonable, their quality is good and they have a fast turnaround time. They can even do the embossing we were talking about.  Do you have the final design files? I think Sarah sent them over last week. Maybe we should loop her in on this call? 

I think the embossed logo will make a big difference, it just looks more professional. Do we want to go with the matte or glossy finish? I'm leaning towards matte, it's a bit more modern. What do you think about the paper stock? We have a few options, from standard to premium. I wouldn't go for the cheapest one, it feels flimsy.  Let's go with the mid-range option, it's a good balance of quality and price.

Okay, so PrintPerfect, embossed logo, matte finish, mid-range paper. Got it. Should we go with the standard size or the larger ones? The larger ones are more noticeable, but they might be a bit too big for some wallets. I think the standard size is fine, especially since we're going for a minimalist design.


**Summary**

The group is discussing the design and ordering of business cards from PrintPerfect for an upcoming conference. 



",google/gemma-2-27b-it,299,96
"[{'content': ""Please write a text of 250-300 words that could pass as a transcription of an everyday conversation between two or more people on the topic of: parking permit. Do not indicate speaker turns and do not use quotation marks. Just write the transcription as on long text. Then, under the headline '**Summary**' write one sentence that summarizes the transcription, emphasizing any meetings, persons or places mentioned in the conversation."", 'role': 'user'}]","So I finally got that parking permit I was telling you about. It was a nightmare though, the line at the DMV was insane. I swear I was there for at least two hours. They really need to figure out a better system. Oh, and you know what else is crazy? The price. It's like double what it used to be. I don't understand how they can justify that increase. Anyway, at least I can finally park in the lot near my apartment without worrying about getting towed. Speaking of the apartment, did you hear about the new tenant moving in next door? Apparently, they have a dog, a big one. I hope it's not a barker. I'm already having trouble sleeping with all the noise from the construction across the street. Yeah, that new building is going up so fast. It's going to block my view of the park though, which is a bummer.  At least I have my parking spot secured. Did I tell you about the parking garage on Elm Street? They have monthly rates that are actually pretty reasonable, but it's a bit of a walk from my place. Maybe I should check it out. I just hate the idea of parking so far away, especially at night. It's not the safest neighborhood after dark. 


**Summary**

Two people discuss the hassle of obtaining a parking permit, lament the rising cost, and share concerns about noise from construction and a new neighbor's dog, with one person considering a parking garage on Elm Street.  

",google/gemma-2-27b-it,316,87
"[{'content': ""Please write a text of 100-150 words that could pass as a transcription of an everyday conversation between two or more people on the topic of: study schedule. Do not indicate speaker turns and do not use quotation marks. Just write the transcription as on long text. Then, under the headline '**Summary**' write one sentence that summarizes the transcription, emphasizing any meetings, persons or places mentioned in the conversation."", 'role': 'user'}]","So I'm trying to figure out my study schedule for next semester. I've got that intro to psych class that meets Tuesdays and Thursdays at 10, and then organic chemistry which is always a beast, Mondays, Wednesdays and Fridays at 1.  I really want to make sure I have enough time for that, so maybe I should block out those afternoons for studying. Oh yeah, and Professor Lee's office hours are Tuesdays from 2 to 4, so I definitely need to keep that free.  What about you, what's your schedule looking like?  You have that 8 am philosophy class right? You're so disciplined for taking a class that early. I wish I could do that.  Maybe we could study together sometime, especially for psych.  It's supposed to be a tough class.

**Summary**

Two people discuss their upcoming semester schedules, mentioning specific classes, times, and a professor's office hours, and express interest in studying together. 



",google/gemma-2-27b-it,208,87
